benchmark,experiment,tree_path,tree_theorem,node_count,edge_count,branching_node_count,average_branching_factor,max_branching_factor,single_node_tree
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-contradiction_to_false_093/namespace-core_eval-name-contradiction_to_false_093_20260517-052924,namespace-core_eval-name-contradiction_to_false_093,2,3,1,3.0,3.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-contradiction_to_true_092/namespace-core_eval-name-contradiction_to_true_092_20260517-080318,namespace-core_eval-name-contradiction_to_true_092,2,1,1,1.0,1.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-eq_if_false_124/namespace-core_eval-name-eq_if_false_124_20260517-023806,namespace-core_eval-name-eq_if_false_124,4,5,1,5.0,5.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-eq_if_true_123/namespace-core_eval-name-eq_if_true_123_20260517-075542,namespace-core_eval-name-eq_if_true_123,4,8,1,8.0,8.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-eq_list_cons_118/namespace-core_eval-name-eq_list_cons_118_20260517-005450,namespace-core_eval-name-eq_list_cons_118,2,6,1,6.0,6.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-eq_list_nil_117/namespace-core_eval-name-eq_list_nil_117_20260517-005822,namespace-core_eval-name-eq_list_nil_117,2,2,1,2.0,2.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-eq_list_nil_append_120/namespace-core_eval-name-eq_list_nil_append_120_20260517-035728,namespace-core_eval-name-eq_list_nil_append_120,3,8,1,8.0,8.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-eq_option_some_116/namespace-core_eval-name-eq_option_some_116_20260517-050218,namespace-core_eval-name-eq_option_some_116,3,4,1,4.0,4.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-eq_pair_fst_113/namespace-core_eval-name-eq_pair_fst_113_20260517-085537,namespace-core_eval-name-eq_pair_fst_113,3,6,1,6.0,6.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-eq_refl_bool_102/namespace-core_eval-name-eq_refl_bool_102_20260517-105941,namespace-core_eval-name-eq_refl_bool_102,3,8,1,8.0,8.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-eq_subst_decide_210/namespace-core_eval-name-eq_subst_decide_210_20260517-092445,namespace-core_eval-name-eq_subst_decide_210,2,2,1,2.0,2.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-eq_subst_list_206/namespace-core_eval-name-eq_subst_list_206_20260517-013506,namespace-core_eval-name-eq_subst_list_206,5,6,1,6.0,6.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-eq_subst_nat_110/namespace-core_eval-name-eq_subst_nat_110_20260517-043803,namespace-core_eval-name-eq_subst_nat_110,4,5,1,5.0,5.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-eq_subst_nat_111/namespace-core_eval-name-eq_subst_nat_111_20260517-090520,namespace-core_eval-name-eq_subst_nat_111,5,7,1,7.0,7.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-eq_subst_pair_left_207/namespace-core_eval-name-eq_subst_pair_left_207_20260517-094812,namespace-core_eval-name-eq_subst_pair_left_207,4,4,1,4.0,4.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-eq_subst_pair_right_208/namespace-core_eval-name-eq_subst_pair_right_208_20260517-013922,namespace-core_eval-name-eq_subst_pair_right_208,4,4,1,4.0,4.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-eq_subst_pred_209/namespace-core_eval-name-eq_subst_pred_209_20260517-123236,namespace-core_eval-name-eq_subst_pred_209,4,4,1,4.0,4.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-exists_and_194/namespace-core_eval-name-exists_and_194_20260517-020911,namespace-core_eval-name-exists_and_194,2,2,1,2.0,2.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-exists_zero_200/namespace-core_eval-name-exists_zero_200_20260517-080028,namespace-core_eval-name-exists_zero_200,2,2,1,2.0,2.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-false_and_left_099/namespace-core_eval-name-false_and_left_099_20260517-090152,namespace-core_eval-name-false_and_left_099,3,3,1,3.0,3.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-false_elim_086/namespace-core_eval-name-false_elim_086_20260517-073642,namespace-core_eval-name-false_elim_086,2,2,1,2.0,2.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-false_imp_090/namespace-core_eval-name-false_imp_090_20260517-012551,namespace-core_eval-name-false_imp_090,2,14,1,14.0,14.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-forall_const_196/namespace-core_eval-name-forall_const_196_20260517-092814,namespace-core_eval-name-forall_const_196,5,7,1,7.0,7.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-forall_id_195/namespace-core_eval-name-forall_id_195_20260517-122626,namespace-core_eval-name-forall_id_195,2,8,1,8.0,8.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-fun_const_189/namespace-core_eval-name-fun_const_189_20260517-044206,namespace-core_eval-name-fun_const_189,2,8,1,8.0,8.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-hardish_de_morgan_228/namespace-core_eval-name-hardish_de_morgan_228_20260517-091324,namespace-core_eval-name-hardish_de_morgan_228,4,3,2,1.5,2.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-hardish_exists_240/namespace-core_eval-name-hardish_exists_240_20260517-010252,namespace-core_eval-name-hardish_exists_240,2,1,1,1.0,1.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-hardish_list_236/namespace-core_eval-name-hardish_list_236_20260517-050901,namespace-core_eval-name-hardish_list_236,6,5,1,5.0,5.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-hardish_list_237/namespace-core_eval-name-hardish_list_237_20260517-052129,namespace-core_eval-name-hardish_list_237,10,10,2,5.0,5.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-hardish_nat_eq_231/namespace-core_eval-name-hardish_nat_eq_231_20260517-031638,namespace-core_eval-name-hardish_nat_eq_231,6,5,1,5.0,5.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-hardish_nat_eq_232/namespace-core_eval-name-hardish_nat_eq_232_20260517-085215,namespace-core_eval-name-hardish_nat_eq_232,8,7,1,7.0,7.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-hardish_nat_le_233/namespace-core_eval-name-hardish_nat_le_233_20260517-082508,namespace-core_eval-name-hardish_nat_le_233,1,0,0,,0,True
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-hardish_or_imp_230/namespace-core_eval-name-hardish_or_imp_230_20260517-020503,namespace-core_eval-name-hardish_or_imp_230,3,2,2,1.0,1.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-iff_and_assoc_081/namespace-core_eval-name-iff_and_assoc_081_20260517-102349,namespace-core_eval-name-iff_and_assoc_081,8,7,2,3.5,5.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-iff_and_comm_073/namespace-core_eval-name-iff_and_comm_073_20260517-070939,namespace-core_eval-name-iff_and_comm_073,3,2,1,2.0,2.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-iff_and_true_left_077/namespace-core_eval-name-iff_and_true_left_077_20260517-065414,namespace-core_eval-name-iff_and_true_left_077,2,6,1,6.0,6.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-iff_and_true_right_078/namespace-core_eval-name-iff_and_true_right_078_20260517-071656,namespace-core_eval-name-iff_and_true_right_078,3,6,1,6.0,6.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-iff_dup_or_084/namespace-core_eval-name-iff_dup_or_084_20260517-111036,namespace-core_eval-name-iff_dup_or_084,3,4,1,4.0,4.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-iff_imp_self_085/namespace-core_eval-name-iff_imp_self_085_20260517-034931,namespace-core_eval-name-iff_imp_self_085,2,2,1,2.0,2.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-iff_or_assoc_082/namespace-core_eval-name-iff_or_assoc_082_20260517-014806,namespace-core_eval-name-iff_or_assoc_082,1,0,0,,0,True
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-iff_or_comm_074/namespace-core_eval-name-iff_or_comm_074_20260517-095555,namespace-core_eval-name-iff_or_comm_074,3,2,1,2.0,2.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-iff_refl_066/namespace-core_eval-name-iff_refl_066_20260517-053457,namespace-core_eval-name-iff_refl_066,2,3,1,3.0,3.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-iff_true_intro_072/namespace-core_eval-name-iff_true_intro_072_20260517-035319,namespace-core_eval-name-iff_true_intro_072,3,6,1,6.0,6.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-imp_exists_223/namespace-core_eval-name-imp_exists_223_20260517-074009,namespace-core_eval-name-imp_exists_223,6,7,1,7.0,7.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-list_append_assoc_174/namespace-core_eval-name-list_append_assoc_174_20260517-011236,namespace-core_eval-name-list_append_assoc_174,2,5,1,5.0,5.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-list_cons_ne_nil_177/namespace-core_eval-name-list_cons_ne_nil_177_20260517-111631,namespace-core_eval-name-list_cons_ne_nil_177,2,1,1,1.0,1.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-list_head_cons_179/namespace-core_eval-name-list_head_cons_179_20260517-110623,namespace-core_eval-name-list_head_cons_179,3,10,1,10.0,10.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-list_length_cons_176/namespace-core_eval-name-list_length_cons_176_20260517-080618,namespace-core_eval-name-list_length_cons_176,3,2,1,2.0,2.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-list_length_nil_175/namespace-core_eval-name-list_length_nil_175_20260517-095128,namespace-core_eval-name-list_length_nil_175,2,3,1,3.0,3.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-list_nil_append_172/namespace-core_eval-name-list_nil_append_172_20260517-033737,namespace-core_eval-name-list_nil_append_172,2,9,1,9.0,9.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-list_nil_ne_cons_178/namespace-core_eval-name-list_nil_ne_cons_178_20260517-045639,namespace-core_eval-name-list_nil_ne_cons_178,3,4,1,4.0,4.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-mixed_and_eq_211/namespace-core_eval-name-mixed_and_eq_211_20260517-032036,namespace-core_eval-name-mixed_and_eq_211,5,5,1,5.0,5.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-mixed_bool_prop_220/namespace-core_eval-name-mixed_bool_prop_220_20260517-114043,namespace-core_eval-name-mixed_bool_prop_220,3,3,1,3.0,3.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-mixed_imp_eq_213/namespace-core_eval-name-mixed_imp_eq_213_20260517-091655,namespace-core_eval-name-mixed_imp_eq_213,4,6,1,6.0,6.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-mixed_list_nat_217/namespace-core_eval-name-mixed_list_nat_217_20260517-094502,namespace-core_eval-name-mixed_list_nat_217,4,8,1,8.0,8.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-mixed_nat_prop_215/namespace-core_eval-name-mixed_nat_prop_215_20260517-114531,namespace-core_eval-name-mixed_nat_prop_215,6,5,1,5.0,5.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-mixed_nat_prop_216/namespace-core_eval-name-mixed_nat_prop_216_20260517-104849,namespace-core_eval-name-mixed_nat_prop_216,4,4,1,4.0,4.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-mixed_option_nat_218/namespace-core_eval-name-mixed_option_nat_218_20260517-042825,namespace-core_eval-name-mixed_option_nat_218,4,9,1,9.0,9.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-mixed_option_nat_219/namespace-core_eval-name-mixed_option_nat_219_20260517-111341,namespace-core_eval-name-mixed_option_nat_219,4,4,1,4.0,4.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-mixed_or_eq_212/namespace-core_eval-name-mixed_or_eq_212_20260517-084753,namespace-core_eval-name-mixed_or_eq_212,4,7,1,7.0,7.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-n_mod_2_implies_square_mod/namespace-core_eval-name-n_mod_2_implies_square_mod_20260517-073335,namespace-core_eval-name-n_mod_2_implies_square_mod,3,2,2,1.0,1.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-n_plus_succ/namespace-core_eval-name-n_plus_succ_20260517-044551,namespace-core_eval-name-n_plus_succ,3,6,1,6.0,6.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-n_plus_zero/namespace-core_eval-name-n_plus_zero_20260517-075140,namespace-core_eval-name-n_plus_zero,3,9,1,9.0,9.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-n_zero_plus/namespace-core_eval-name-n_zero_plus_20260517-044945,namespace-core_eval-name-n_zero_plus,2,6,1,6.0,6.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-nat_add_assoc_137/namespace-core_eval-name-nat_add_assoc_137_20260517-104552,namespace-core_eval-name-nat_add_assoc_137,2,1,1,1.0,1.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-nat_add_comm_136/namespace-core_eval-name-nat_add_comm_136_20260517-063102,namespace-core_eval-name-nat_add_comm_136,5,7,1,7.0,7.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-nat_add_zero_127/namespace-core_eval-name-nat_add_zero_127_20260517-013029,namespace-core_eval-name-nat_add_zero_127,3,5,1,5.0,5.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-nat_le_of_lt_148/namespace-core_eval-name-nat_le_of_lt_148_20260517-092150,namespace-core_eval-name-nat_le_of_lt_148,3,3,1,3.0,3.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-nat_lt_trans_146/namespace-core_eval-name-nat_lt_trans_146_20260517-071321,namespace-core_eval-name-nat_lt_trans_146,1,0,0,,0,True
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-nat_mul_assoc_139/namespace-core_eval-name-nat_mul_assoc_139_20260517-032608,namespace-core_eval-name-nat_mul_assoc_139,3,4,1,4.0,4.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-nat_mul_comm_138/namespace-core_eval-name-nat_mul_comm_138_20260517-062336,namespace-core_eval-name-nat_mul_comm_138,2,7,1,7.0,7.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-nat_mul_one_129/namespace-core_eval-name-nat_mul_one_129_20260517-122951,namespace-core_eval-name-nat_mul_one_129,2,4,1,4.0,4.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-nat_pred_succ_151/namespace-core_eval-name-nat_pred_succ_151_20260517-034509,namespace-core_eval-name-nat_pred_succ_151,3,5,1,5.0,5.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-nat_succ_ne_zero_134/namespace-core_eval-name-nat_succ_ne_zero_134_20260517-055918,namespace-core_eval-name-nat_succ_ne_zero_134,4,8,1,8.0,8.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-nat_succ_pos_150/namespace-core_eval-name-nat_succ_pos_150_20260517-045323,namespace-core_eval-name-nat_succ_pos_150,5,6,1,6.0,6.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-nat_two_add_155/namespace-core_eval-name-nat_two_add_155_20260517-051206,namespace-core_eval-name-nat_two_add_155,5,4,1,4.0,4.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-nat_zero_add_126/namespace-core_eval-name-nat_zero_add_126_20260517-052416,namespace-core_eval-name-nat_zero_add_126,3,3,1,3.0,3.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-nat_zero_ne_succ_135/namespace-core_eval-name-nat_zero_ne_succ_135_20260517-122112,namespace-core_eval-name-nat_zero_ne_succ_135,2,3,1,3.0,3.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-not_false_089/namespace-core_eval-name-not_false_089_20260517-024652,namespace-core_eval-name-not_false_089,2,4,1,4.0,4.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-not_imp_false_097/namespace-core_eval-name-not_imp_false_097_20260517-033307,namespace-core_eval-name-not_imp_false_097,3,5,1,5.0,5.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-not_intro_087/namespace-core_eval-name-not_intro_087_20260517-080944,namespace-core_eval-name-not_intro_087,3,4,1,4.0,4.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-not_not_intro_091/namespace-core_eval-name-not_not_intro_091_20260517-112249,namespace-core_eval-name-not_not_intro_091,2,2,1,2.0,2.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-not_or_intro_096/namespace-core_eval-name-not_or_intro_096_20260517-021621,namespace-core_eval-name-not_or_intro_096,4,5,1,5.0,5.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-not_true_to_false_098/namespace-core_eval-name-not_true_to_false_098_20260517-011822,namespace-core_eval-name-not_true_to_false_098,2,9,1,9.0,9.0,False
